Text,AuthorID,Timestamp
@DanRather You and the other scumbag liberals who catapulted Biden into office are responsible for the atrocities caused by Putin . Putin never would have done that if Trump was President. You have their blood on your hands,1482101983188238337,2022-05-14T23:20:49.000Z
"@DanRather @NancySinatra 😷/ #StrongerTogether! 🇺🇦
🌊🌊🌊
https://t.co/pGyZQbRS66",824903725,2022-05-14T23:20:39.000Z
@DanRather Isn't that the truth!,1353381169,2022-05-14T23:20:05.000Z
"@DanRather UKRAINE TODAY VIDEO 
https://t.co/jfUBKNmQUf",1485722951060279296,2022-05-14T23:15:01.000Z
@DanRather Z. https://t.co/0L8rdBScf5,702214495700021249,2022-05-14T23:13:09.000Z
@DanRather Aid in lieu of what Dan? Arms?,1486966620656439300,2022-05-14T23:12:57.000Z
@DanRather True.,1462393143786184711,2022-05-14T23:12:34.000Z
"@DanRather Hey Dan, unfortunately/FORTUNATELY at this point in modern, human history/civilization: NOW WE KNOW HOW HITLER, STALIN, &amp; MAO DID IT.",1500740353732665346,2022-05-14T23:07:50.000Z
"@DanRather Freedom and democracy ???? what is that ?
Are you living on planet Mars ? 
Freedom and Democracy on this planet is  only for politician , rich and owners of this planet",482751834,2022-05-14T23:07:46.000Z
@DanRather did the people of #ukraine get a say in whether they wanted to go to war with Putin and get their families and children bombed out of their homes ... there's democracy for you ..Hypocrites #liars,1500799341778411530,2022-05-14T23:04:08.000Z
@DanRather You’re not very bright are you? Zelensky is not the saint people think he is. https://t.co/9RRLxO7XUw,1519149014020669442,2022-05-14T23:03:59.000Z
@DanRather You are irrelevant,1431593454962974721,2022-05-14T23:03:06.000Z
@DanRather How did so many people become such blind defenders of the US military wasting billions on war? I used to think most people agreed wasting billions on war was bad.,991806067716902913,2022-05-14T22:55:34.000Z
@DanRather https://t.co/zTiOOZdjxK,306032307,2022-05-14T22:54:14.000Z
@DanRather That 2 different things Dan.,1520086201734246402,2022-05-14T22:52:03.000Z
@DanRather Define 'freedom and democracy' dan,1258583745235349505,2022-05-14T22:49:39.000Z
@DanRather Wrongo. Ukraine is a money laundering scheme for Biden.,1349382806519099392,2022-05-14T22:48:58.000Z
@DanRather Support for Nazi’s?,2758526105,2022-05-14T22:48:18.000Z
@DanRather I grew up watching you. I always thought you were a honesty man . Your just one of them  fake reporter.,993991941053444102,2022-05-14T22:45:59.000Z
@DanRather https://t.co/RkCCbhrmvy,1411758895102562306,2022-05-14T22:43:49.000Z
"@DanRather No Dan, we are 30 trillion in debt and have no way out.  Your so privileged Dan.",1518744530765320192,2022-05-14T22:42:06.000Z
@DanRather Freedom? Really? https://t.co/3XAeNarZt2,1023342354,2022-05-14T22:41:32.000Z
@DanRather https://t.co/CaPswxpbqS,1411758895102562306,2022-05-14T22:41:07.000Z
"@DanRather Or give you evidences of clueless people farting about freedom and democracy ...

https://t.co/QhhNelyZsL",1411758895102562306,2022-05-14T22:39:04.000Z
@DanRather And it was an absolute disgrace that @LeaderMcConnell and other @SenateGOP travelled to #Ukraine when it was one of their own @SenateGOP #Putin supporters - @RandPaul - who stopped the military aid to #Ukraine,842434518,2022-05-14T22:39:01.000Z
@DanRather Or what you really think of #Biolabs 🧪 and #HunterBiden 👨‍💻 #Ukraine,82702607,2022-05-14T22:37:21.000Z
"@DanRather Or maybe Americans don’t want to be in another never ending war.  Giving financial aide often leads to boots on the ground down the road.  What did you think of Vietnam Dan?  It’s $40B Dan - so, those who disagree with you love Putin?",18496709,2022-05-14T22:35:13.000Z
@DanRather #Ukrainian defenders are brave to the core.  Who would've thought they could face Russian invasion so valiantly for so long.,1060959024949198848,2022-05-14T22:27:37.000Z
@DanRather Go f*ck zelensky that fucking son of a b*tch 🖕,985175835727581185,2022-05-14T22:27:18.000Z
"@DanRather what do you think of all the unlegit wars led by usa? like in irak with a bad reason like for russia?
The usa has done more shit in the world than russia or china. and for what? they are nice ? Or the real reason is that they are too powerful so better to follow them and shutup.",1182382349817921537,2022-05-14T22:25:33.000Z
"@DanRather No, you're voting to use the money to help Americans, not a tinpot dictator, money laundering beneficiaries, and a longer casualty list of Ukrainians.",1427470101213757440,2022-05-14T22:23:59.000Z
"@DanRather Lying bastard twisting the truth. The CIA are the murderous aggressors. Putin is attacking the child traffickers, drug trafficking, money laundering and bio labs. Headquarters in Ukraine Khazarian Mafia and CIA, NATO, UN ,EU deeply involved. Good versus Evil.",873980084,2022-05-14T22:23:57.000Z
@DanRather My tip off for you is your calling the US a democracy. Freedom and democracy are diametrically opposed to each other.,1010914006096273408,2022-05-14T22:15:15.000Z
"@DanRather Gas, food and housing is rising like crazy while we send 40(more?) billion to ukraine",1416173685367623695,2022-05-14T22:14:25.000Z
@DanRather Voting for aid for American citizens.,363358796,2022-05-14T22:13:09.000Z
"@DanRather Dan, how much is Europe contributing to the war on their own continent?",1310253569707311104,2022-05-14T22:09:28.000Z
"@DanRather I can oppose Russian aggression and wildly irresponsible/unaccountable spending at the same time, Dan.  If you cannot, it might be a small tip off that you have a semi-functional mind.",25621767,2022-05-14T22:07:08.000Z
"@DanRather Aid for Ukraine, sure. But when we are left with bare shelves where we can't even get out babies formula. Fuck that!!",1420844366831099905,2022-05-14T22:06:14.000Z
"@DanRather ""You are either with us, or against us"" (G.W. Bush)",310445162,2022-05-14T22:05:30.000Z
@DanRather https://t.co/vBwsDTaupQ,32532994,2022-05-14T22:03:37.000Z
@DanRather Ukraine  is not a Democracy. Look up Maidan Coup. Yes we are arming Nazis. Yes we are using Ukrainians as cannon fodder in a proxy war designed to weaken Russia. In the process we risk a nuclear war.  Peace would save Ukrainian lives. More arms=more Ukrainians dead.,3931729943,2022-05-14T22:02:26.000Z
@DanRather You're a political analyst.  You have zero authority to judge others. Leave the social commentary to those who specialize.,1334136710146486273,2022-05-14T22:01:38.000Z
"@DanRather Mr. Rather. Is it a coincidence I was 6 mos. old in Sept. '61 and no voice has ever soothed me as much as yours? You are a journalist and they're out there but they're getting smashed. No offence to Harry but when I need a dose, I go to you for reason. Huge fan thank you ;)",781588931318018048,2022-05-14T22:00:24.000Z
@DanRather just like a democrat,1518783915112108032,2022-05-14T21:54:03.000Z
@DanRather I think the people of the area should be able to settle their issues without us. No more American proxy war.,948830574592102400,2022-05-14T21:53:23.000Z
